product_id,product_name,category_id,launch_date,price
IP064,iPhone 16 Plus 512GB,CAT001,2024-09-20,1199
IP065,iPhone 16 Pro 128GB,CAT001,2024-09-20,999
IP066,iPhone 16 Pro 256GB,CAT001,2024-09-20,1099
IP067,iPhone 16 Pro 512GB,CAT001,2024-09-20,1299
IP068,iPhone 16 Pro 1024GB,CAT001,2024-09-20,1499
IP069,iPhone 16 Pro Max 256GB,CAT001,2024-09-20,1199
IP070,iPhone 16 Pro Max 512GB,CAT001,2024-09-20,1399
IP071,iPhone 16 Pro Max 1024GB,CAT001,2024-09-20,1599
IP072,iPhone 16e 128GB,CAT001,2025-02-28,599
IP073,iPhone 16e 256GB,CAT001,2025-02-28,699
MAC001,MacBook Air M1 256GB SSD,CAT002,2020-11-17,999
MAC002,MacBook Air M1 512GB SSD,CAT002,2020-11-17,1249
MAC003,MacBook Air M2 13 256GB SSD,CAT002,2022-07-15,1199
MAC004,MacBook Air M2 13 512GB SSD,CAT002,2022-07-15,1499
MAC005,MacBook Air M2 15 256GB SSD,CAT002,2023-06-13,1299
MAC006,MacBook Air M2 15 512GB SSD,CAT002,2023-06-13,1599
MAC007,MacBook Air M3 13 256GB SSD,CAT002,2024-03-08,1099
MAC008,MacBook Air M3 13 512GB SSD,CAT002,2024-03-08,1399
MAC009,MacBook Air M3 15 256GB SSD,CAT002,2024-03-08,1299
MAC010,MacBook Air M3 15 512GB SSD,CAT002,2024-03-08,1599
MAC011,MacBook Pro 14 M3 512GB SSD,CAT002,2023-11-07,1599
MAC012,MacBook Pro 14 M3 1024GB SSD,CAT002,2023-11-07,1999
MAC013,MacBook Pro 16 M3 Pro 512GB SSD,CAT002,2023-11-07,2499
MAC014,MacBook Pro 16 M3 Pro 1024GB SSD,CAT002,2023-11-07,2899
MAC015,iMac M3 256GB SSD,CAT002,2023-11-07,1299
MAC016,iMac M3 512GB SSD,CAT002,2023-11-07,1499
MAC017,Mac Mini M2 256GB SSD,CAT002,2023-01-24,599
MAC018,Mac Mini M2 512GB SSD,CAT002,2023-01-24,799
MAC019,Mac Studio M2 Max 512GB SSD,CAT002,2023-06-13,1999
MAC020,Mac Studio M2 Max 1024GB SSD,CAT002,2023-06-13,2399
MAC021,Mac Pro M2 Ultra 1024GB SSD,CAT002,2023-06-13,6999
MAC022,Mac Pro M2 Ultra 2048GB SSD,CAT002,2023-06-13,7999
IPD001,iPad 9th Gen 64GB,CAT003,2021-09-24,329
IPD002,iPad 9th Gen 256GB,CAT003,2021-09-24,479
IPD003,iPad 10th Gen 64GB,CAT003,2022-10-26,449
IPD004,iPad 10th Gen 256GB,CAT003,2022-10-26,599
IPD005,iPad Mini 6 64GB,CAT003,2021-09-24,499
IPD006,iPad Mini 6 256GB,CAT003,2021-09-24,649
IPD007,iPad Air M2 11 128GB,CAT003,2024-05-15,599
IPD008,iPad Air M2 11 256GB,CAT003,2024-05-15,699
IPD009,iPad Air M2 11 512GB,CAT003,2024-05-15,899
IPD010,iPad Air M2 13 128GB,CAT003,2024-05-15,799
IPD011,iPad Air M2 13 256GB,CAT003,2024-05-15,899
IPD012,iPad Air M2 13 512GB,CAT003,2024-05-15,1099
IPD013,iPad Pro M4 11 256GB,CAT003,2024-05-15,999
IPD014,iPad Pro M4 11 512GB,CAT003,2024-05-15,1199
IPD015,iPad Pro M4 11 1024GB,CAT003,2024-05-15,1499
IPD016,iPad Pro M4 13 256GB,CAT003,2024-05-15,1299
IPD017,iPad Pro M4 13 512GB,CAT003,2024-05-15,1499
IPD018,iPad Pro M4 13 1024GB,CAT003,2024-05-15,1799
AW001,Apple Watch SE 2 GPS,CAT004,2022-09-16,249
AW002,Apple Watch SE 2 GPS + Cellular,CAT004,2022-09-16,349
AW003,Apple Watch Series 9 GPS,CAT004,2023-09-22,399
AW004,Apple Watch Series 9 GPS + Cellular,CAT004,2023-09-22,499
AW005,Apple Watch Ultra 2 GPS,CAT004,2023-09-22,799
AW006,Apple Watch Ultra 2 GPS + Cellular,CAT004,2023-09-22,899
AW007,Apple Watch Series 10 GPS,CAT004,2024-09-20,399
AW008,Apple Watch Series 10 GPS + Cellular,CAT004,2024-09-20,499
AP001,AirPods 2nd Gen,CAT005,2019-03-26,129
AP002,AirPods 3rd Gen,CAT005,2021-10-26,169
AP003,AirPods 4th Gen,CAT005,2024-09-20,179
AP004,AirPods Pro 2 USB-C,CAT005,2023-09-22,249
AP005,AirPods Max,CAT005,2020-12-15,549
ACC001,Apple Pencil (1st Gen),CAT006,2023-01-01,99
ACC002,Apple Pencil USB-C,CAT006,2023-01-01,79
ACC003,Apple Pencil Pro,CAT006,2023-01-01,129
ACC004,Magic Keyboard,CAT006,2023-01-01,99
ACC005,Magic Mouse,CAT006,2023-01-01,79
ACC006,Magic Trackpad,CAT006,2023-01-01,129
ACC007,AirTag,CAT006,2023-01-01,29
ACC008,20W USB-C Adapter,CAT006,2023-01-01,19
ACC009,35W Dual USB-C Adapter,CAT006,2023-01-01,59
ACC010,USB-C Charge Cable 1m,CAT006,2023-01-01,19
ACC011,USB-C Charge Cable 2m,CAT006,2023-01-01,29
ACC012,MagSafe Charger,CAT006,2023-01-01,39
ACC013,MagSafe Duo,CAT006,2023-01-01,129
ACC014,FineWoven iPhone Case,CAT006,2023-01-01,59
ACC015,Silicone iPhone Case,CAT006,2023-01-01,49
ACC016,Apple Watch Sport Band,CAT006,2023-01-01,49
ACC017,Apple Watch Milanese Loop,CAT006,2023-01-01,99
ACC018,Thunderbolt 4 Cable,CAT006,2023-01-01,69
ACC019,USB-C to Lightning Cable,CAT006,2023-01-01,19
ACC020,Polishing Cloth,CAT006,2023-01-01,19
