claim_id,claim_date,sale_id,repair_status
CLM000077,2022-04-16,SALE000469,Completed
CLM000078,2025-09-18,SALE000478,Completed
CLM000079,2025-12-31,SALE000482,Replaced
CLM000080,2020-10-08,SALE000488,Replaced
CLM000081,2022-07-02,SALE000490,Replaced
CLM000082,2021-08-30,SALE000495,Paid Repaired
CLM000083,2024-05-13,SALE000498,Completed
CLM000084,2023-10-16,SALE000503,Warranty Void
CLM000085,2025-01-23,SALE000515,Rejected
CLM000086,2021-08-21,SALE000521,Completed
CLM000087,2022-08-19,SALE000524,Completed
CLM000088,2024-08-31,SALE000538,Pending
CLM000089,2025-06-19,SALE000540,Replaced
CLM000090,2023-12-04,SALE000543,Completed
CLM000091,2025-07-20,SALE000547,Completed
CLM000092,2021-07-09,SALE000548,Completed
CLM000093,2022-11-02,SALE000557,Pending
CLM000094,2021-04-29,SALE000558,Paid Repaired
CLM000095,2021-06-09,SALE000573,Paid Repaired
CLM000096,2022-06-17,SALE000578,Pending
CLM000097,2024-11-11,SALE000587,Completed
CLM000098,2023-05-07,SALE000590,Completed
CLM000099,2023-04-28,SALE000594,Rejected
CLM000100,2024-07-10,SALE000597,Completed
CLM000101,2022-05-03,SALE000604,Replaced
CLM000102,2020-11-28,SALE000613,Paid Repaired
CLM000103,2024-01-17,SALE000614,Completed
CLM000104,2024-08-12,SALE000620,Completed
CLM000105,2020-10-27,SALE000622,Warranty Void
CLM000106,2025-12-31,SALE000629,Paid Repaired
CLM000107,2025-03-01,SALE000633,Pending
CLM000108,2021-02-28,SALE000639,Replaced
CLM000109,2022-09-09,SALE000640,Paid Repaired
CLM000110,2025-12-31,SALE000656,Replaced
CLM000111,2022-11-17,SALE000661,Pending
CLM000112,2021-12-31,SALE000662,Completed
CLM000113,2022-11-14,SALE000665,Completed
CLM000114,2025-01-31,SALE000668,Paid Repaired
CLM000115,2021-11-30,SALE000671,Completed
CLM000116,2021-08-10,SALE000677,Pending
CLM000117,2024-11-26,SALE000685,Completed
CLM000118,2025-08-28,SALE000687,Completed
CLM000119,2021-06-08,SALE000694,Rejected
CLM000120,2021-01-17,SALE000702,Completed
CLM000121,2023-03-27,SALE000705,Completed
CLM000122,2023-10-07,SALE000712,Completed
CLM000123,2024-01-11,SALE000722,Replaced
CLM000124,2025-12-31,SALE000724,Warranty Void
CLM000125,2024-08-11,SALE000725,Paid Repaired
CLM000126,2024-10-05,SALE000727,Completed
CLM000127,2025-12-26,SALE000730,Completed
CLM000128,2021-03-22,SALE000735,Replaced
CLM000129,2025-03-02,SALE000738,Completed
CLM000130,2021-02-25,SALE000741,Replaced
CLM000131,2022-12-10,SALE000750,Completed
CLM000132,2025-11-20,SALE000751,Warranty Void
CLM000133,2020-12-04,SALE000752,Completed
CLM000134,2025-05-16,SALE000753,Replaced
CLM000135,2025-04-17,SALE000760,Warranty Void
CLM000136,2024-08-22,SALE000794,Warranty Void
CLM000137,2022-08-20,SALE000801,Rejected
CLM000138,2024-12-09,SALE000803,Replaced
CLM000139,2022-04-08,SALE000811,Warranty Void
CLM000140,2022-07-24,SALE000812,Completed
CLM000141,2024-08-21,SALE000817,Replaced
CLM000142,2022-12-12,SALE000823,Replaced
CLM000143,2021-03-22,SALE000832,Completed
CLM000144,2021-10-19,SALE000833,Paid Repaired
CLM000145,2020-12-25,SALE000836,Replaced
CLM000146,2024-02-19,SALE000847,Completed
CLM000147,2022-07-30,SALE000848,Warranty Void
CLM000148,2025-12-31,SALE000850,Warranty Void
CLM000149,2022-10-20,SALE000851,Replaced
CLM000150,2022-01-07,SALE000852,Completed
CLM000151,2021-11-06,SALE000854,Completed
CLM000152,2023-11-25,SALE000855,Paid Repaired
CLM000153,2023-11-09,SALE000858,Completed
CLM000154,2024-01-09,SALE000869,Replaced
CLM000155,2022-01-30,SALE000877,Completed
CLM000156,2021-07-20,SALE000886,Pending
CLM000157,2021-10-16,SALE000890,Paid Repaired
CLM000158,2025-12-31,SALE000891,Rejected
CLM000159,2022-05-10,SALE000903,Warranty Void
CLM000160,2021-11-12,SALE000915,Replaced
CLM000161,2020-12-26,SALE000924,Paid Repaired
CLM000162,2024-08-18,SALE000933,Completed
CLM000163,2021-11-08,SALE000936,Warranty Void
CLM000164,2021-11-30,SALE000940,Completed
CLM000165,2024-05-05,SALE000950,Completed
CLM000166,2022-08-03,SALE000953,Completed
CLM000167,2023-11-13,SALE000955,Completed
CLM000168,2024-07-30,SALE000964,Pending
CLM000169,2022-08-18,SALE000965,Completed
CLM000170,2025-12-31,SALE000966,Warranty Void
CLM000171,2021-01-13,SALE000977,Completed
CLM000172,2025-06-02,SALE000991,Replaced
CLM000173,2023-02-08,SALE001000,Replaced
CLM000174,2022-10-25,SALE001015,Replaced
CLM000175,2022-07-14,SALE001022,Pending
CLM000176,2021-07-19,SALE001033,Paid Repaired
CLM000177,2024-05-10,SALE001041,Completed
CLM000178,2025-12-31,SALE001042,Completed
CLM000179,2025-01-30,SALE001044,Completed
CLM000180,2023-03-26,SALE001048,Completed
CLM000181,2025-08-17,SALE001052,Replaced
CLM000182,2023-07-08,SALE001068,Replaced
CLM000183,2020-07-27,SALE001072,Warranty Void
CLM000184,2022-05-29,SALE001084,Paid Repaired
CLM000185,2025-01-27,SALE001087,Completed
CLM000186,2025-10-29,SALE001097,Completed
CLM000187,2024-04-25,SALE001112,Replaced
CLM000188,2024-09-02,SALE001117,Completed
CLM000189,2021-04-07,SALE001120,Paid Repaired
CLM000190,2021-03-08,SALE001121,Completed
CLM000191,2023-01-20,SALE001144,Completed
CLM000192,2022-10-13,SALE001154,Pending
CLM000193,2021-09-18,SALE001163,Paid Repaired
CLM000194,2022-03-16,SALE001171,Paid Repaired
CLM000195,2021-12-27,SALE001177,Replaced
CLM000196,2021-04-20,SALE001179,Completed
CLM000197,2025-03-15,SALE001189,Completed
CLM000198,2020-12-21,SALE001192,Paid Repaired
CLM000199,2024-10-11,SALE001206,Completed
CLM000200,2024-01-26,SALE001209,Replaced
CLM000201,2022-08-11,SALE001214,Rejected
CLM000202,2023-07-25,SALE001215,Rejected
CLM000203,2025-04-30,SALE001227,Completed
CLM000204,2022-06-20,SALE001229,Completed
CLM000205,2025-03-10,SALE001243,Pending
CLM000206,2024-06-12,SALE001245,Pending
CLM000207,2024-02-09,SALE001253,Completed
CLM000208,2022-03-30,SALE001255,Completed
CLM000209,2025-11-20,SALE001277,Completed
CLM000210,2025-05-15,SALE001284,Completed
CLM000211,2024-02-06,SALE001288,Warranty Void
CLM000212,2021-03-13,SALE001292,Completed
CLM000213,2022-06-02,SALE001293,Completed
CLM000214,2022-12-07,SALE001298,Pending
CLM000215,2023-03-14,SALE001305,Replaced
CLM000216,2022-05-16,SALE001318,Completed
CLM000217,2024-12-31,SALE001320,Completed
CLM000218,2022-10-24,SALE001327,Warranty Void
CLM000219,2023-01-31,SALE001328,Completed
CLM000220,2024-12-11,SALE001329,Completed
CLM000221,2024-05-24,SALE001337,Replaced
CLM000222,2022-10-14,SALE001340,Completed
CLM000223,2022-07-18,SALE001346,Rejected
CLM000224,2024-12-16,SALE001350,Completed
CLM000225,2024-08-26,SALE001352,Replaced
CLM000226,2020-06-25,SALE001356,Replaced
CLM000227,2025-06-19,SALE001357,Completed
CLM000228,2022-08-26,SALE001359,Pending
CLM000229,2025-03-07,SALE001360,Replaced
CLM000230,2024-03-18,SALE001362,Warranty Void
CLM000231,2022-03-28,SALE001363,Completed
CLM000232,2025-04-07,SALE001372,Paid Repaired
CLM000233,2024-02-26,SALE001377,Completed
CLM000234,2022-09-24,SALE001393,Completed
CLM000235,2023-04-02,SALE001397,Paid Repaired
CLM000236,2021-10-17,SALE001404,Completed
CLM000237,2021-12-15,SALE001410,Paid Repaired
CLM000238,2025-02-19,SALE001412,Completed
CLM000239,2023-10-17,SALE001432,Paid Repaired
CLM000240,2022-07-05,SALE001433,Completed
CLM000241,2025-12-31,SALE001436,Completed
CLM000242,2021-06-24,SALE001440,Completed
CLM000243,2021-12-17,SALE001444,Replaced
CLM000244,2024-07-22,SALE001449,Paid Repaired
CLM000245,2025-10-31,SALE001453,Replaced
CLM000246,2021-08-19,SALE001462,Completed
CLM000247,2022-05-05,SALE001476,Completed
CLM000248,2022-02-25,SALE001479,Completed
CLM000249,2022-10-29,SALE001482,Warranty Void
CLM000250,2023-03-07,SALE001487,Completed
CLM000251,2021-07-25,SALE001495,Completed
CLM000252,2020-08-14,SALE001504,Paid Repaired
CLM000253,2024-09-06,SALE001519,Completed
CLM000254,2022-01-28,SALE001520,Paid Repaired
CLM000255,2025-04-10,SALE001524,Replaced
CLM000256,2025-12-28,SALE001535,Completed
CLM000257,2022-01-13,SALE001541,Paid Repaired
CLM000258,2022-08-09,SALE001545,Completed
CLM000259,2025-07-05,SALE001548,Replaced
CLM000260,2020-11-28,SALE001550,Paid Repaired
CLM000261,2025-12-31,SALE001559,Paid Repaired
CLM000262,2025-12-31,SALE001561,Warranty Void
CLM000263,2021-09-01,SALE001563,Completed
CLM000264,2024-09-01,SALE001570,Completed
CLM000265,2025-01-31,SALE001575,Completed
CLM000266,2020-11-04,SALE001578,Completed
CLM000267,2024-05-18,SALE001581,Replaced
CLM000268,2025-12-31,SALE001583,Paid Repaired
CLM000269,2024-11-14,SALE001595,Completed
CLM000270,2022-08-10,SALE001622,Completed
CLM000271,2024-06-14,SALE001627,Replaced
CLM000272,2024-10-14,SALE001629,Completed
CLM000273,2025-12-31,SALE001630,Completed
CLM000274,2025-12-31,SALE001635,Replaced
CLM000275,2025-05-27,SALE001648,Replaced
CLM000276,2024-09-27,SALE001650,Replaced
CLM000277,2022-07-01,SALE001655,Replaced
CLM000278,2023-12-06,SALE001670,Replaced
CLM000279,2023-06-30,SALE001677,Replaced
CLM000280,2022-05-25,SALE001684,Warranty Void
CLM000281,2022-12-21,SALE001693,Warranty Void
CLM000282,2023-03-05,SALE001710,Rejected
CLM000283,2020-12-22,SALE001712,Warranty Void
CLM000284,2025-12-08,SALE001716,Warranty Void
CLM000285,2022-07-04,SALE001717,Completed
CLM000286,2023-03-21,SALE001726,Paid Repaired
CLM000287,2022-10-23,SALE001732,Replaced
CLM000288,2023-09-17,SALE001738,Replaced
CLM000289,2021-09-13,SALE001749,Pending
CLM000290,2025-12-31,SALE001757,Paid Repaired
CLM000291,2025-12-04,SALE001758,Completed
CLM000292,2024-09-18,SALE001761,Completed
CLM000293,2023-05-20,SALE001765,Completed
CLM000294,2025-08-10,SALE001770,Completed
CLM000295,2024-10-18,SALE001772,Rejected
CLM000296,2021-12-17,SALE001775,Completed
CLM000297,2024-12-22,SALE001778,Paid Repaired
CLM000298,2021-10-09,SALE001788,Completed
CLM000299,2022-01-26,SALE001797,Completed
CLM000300,2025-11-02,SALE001806,Completed
CLM000301,2024-02-21,SALE001813,Completed
CLM000302,2025-12-31,SALE001818,Completed
CLM000303,2022-07-30,SALE001821,Replaced
CLM000304,2024-08-03,SALE001824,Completed
CLM000305,2021-12-12,SALE001829,Rejected
CLM000306,2023-10-15,SALE001831,Pending
CLM000307,2021-11-13,SALE001844,Warranty Void
CLM000308,2022-06-15,SALE001850,Pending
CLM000309,2024-07-03,SALE001851,Paid Repaired
CLM000310,2022-09-03,SALE001859,Replaced
CLM000311,2022-07-22,SALE001860,Replaced
CLM000312,2024-03-27,SALE001866,Replaced
CLM000313,2024-02-19,SALE001867,Completed
CLM000314,2021-04-30,SALE001880,Replaced
CLM000315,2021-12-22,SALE001886,Paid Repaired
CLM000316,2020-11-19,SALE001888,Pending
CLM000317,2021-11-09,SALE001891,Paid Repaired
CLM000318,2022-06-15,SALE001905,Completed
CLM000319,2025-07-02,SALE001917,Replaced
CLM000320,2025-10-04,SALE001924,Completed
CLM000321,2025-10-22,SALE001937,Completed
CLM000322,2020-08-04,SALE001950,Completed
CLM000323,2022-06-27,SALE001951,Warranty Void
CLM000324,2022-12-22,SALE001988,Pending
CLM000325,2025-11-04,SALE001991,Completed
CLM000326,2022-11-21,SALE001995,Completed
CLM000327,2023-04-11,SALE001996,Warranty Void
CLM000328,2022-10-24,SALE002004,Warranty Void
CLM000329,2024-01-04,SALE002006,Paid Repaired
CLM000330,2021-07-10,SALE002008,Completed
CLM000331,2023-07-27,SALE002019,Replaced
CLM000332,2022-11-22,SALE002021,Warranty Void
CLM000333,2021-02-08,SALE002024,Paid Repaired
CLM000334,2025-06-06,SALE002044,Completed
CLM000335,2025-09-09,SALE002060,Completed
CLM000336,2023-09-05,SALE002065,Paid Repaired
CLM000337,2024-08-03,SALE002066,Paid Repaired
CLM000338,2022-06-10,SALE002092,Replaced
CLM000339,2025-01-02,SALE002103,Completed
CLM000340,2024-07-03,SALE002134,Rejected
CLM000341,2024-05-16,SALE002144,Paid Repaired
CLM000342,2021-08-10,SALE002150,Completed
CLM000343,2021-03-15,SALE002154,Paid Repaired
CLM000344,2020-10-15,SALE002159,Paid Repaired
CLM000345,2025-10-29,SALE002177,Completed
CLM000346,2025-04-18,SALE002178,Completed
CLM000347,2021-03-29,SALE002183,Completed
CLM000348,2024-11-02,SALE002191,Replaced
CLM000349,2025-12-31,SALE002194,Paid Repaired
CLM000350,2021-02-28,SALE002206,Warranty Void
CLM000351,2024-07-23,SALE002208,Completed
CLM000352,2021-04-10,SALE002215,Paid Repaired
CLM000353,2023-04-15,SALE002219,Replaced
CLM000354,2025-09-28,SALE002222,Completed
CLM000355,2024-03-29,SALE002223,Paid Repaired
CLM000356,2025-06-21,SALE002232,Completed
CLM000357,2021-12-22,SALE002255,Replaced
CLM000358,2024-11-07,SALE002267,Replaced
CLM000359,2023-10-26,SALE002273,Completed
CLM000360,2022-07-11,SALE002297,Replaced
CLM000361,2022-06-21,SALE002299,Paid Repaired
CLM000362,2022-01-16,SALE002302,Completed
CLM000363,2022-10-23,SALE002304,Pending
CLM000364,2024-06-16,SALE002324,Completed
CLM000365,2024-09-29,SALE002330,Warranty Void
CLM000366,2022-12-14,SALE002341,Completed
CLM000367,2025-03-19,SALE002343,Completed
CLM000368,2024-11-22,SALE002353,Pending
CLM000369,2022-01-12,SALE002366,Pending
CLM000370,2024-07-06,SALE002367,Pending
CLM000371,2023-05-05,SALE002373,Replaced
CLM000372,2021-11-05,SALE002379,Completed
CLM000373,2021-01-07,SALE002380,Replaced
CLM000374,2022-02-25,SALE002383,Pending
CLM000375,2025-03-25,SALE002390,Rejected
CLM000376,2025-12-31,SALE002401,Paid Repaired
CLM000377,2023-10-17,SALE002414,Paid Repaired
CLM000378,2022-07-10,SALE002430,Completed
CLM000379,2024-09-19,SALE002431,Rejected
CLM000380,2021-01-29,SALE002456,Completed
CLM000381,2022-06-08,SALE002470,Paid Repaired
CLM000382,2023-10-16,SALE002485,Replaced
CLM000383,2023-03-25,SALE002488,Pending
CLM000384,2025-04-12,SALE002493,Completed
CLM000385,2022-05-03,SALE002502,Replaced
CLM000386,2021-12-23,SALE002507,Completed
CLM000387,2023-03-03,SALE002513,Completed
CLM000388,2020-10-08,SALE002514,Paid Repaired
CLM000389,2021-05-16,SALE002524,Replaced
CLM000390,2023-03-28,SALE002534,Completed
CLM000391,2022-07-23,SALE002537,Replaced
CLM000392,2023-06-18,SALE002539,Completed
CLM000393,2020-06-17,SALE002541,Completed
CLM000394,2025-02-11,SALE002543,Pending
CLM000395,2021-04-07,SALE002545,Paid Repaired
CLM000396,2023-08-08,SALE002555,Completed
CLM000397,2024-07-20,SALE002566,Replaced
CLM000398,2025-03-18,SALE002567,Replaced
CLM000399,2022-09-27,SALE002568,Completed
CLM000400,2024-06-04,SALE002570,Replaced
CLM000401,2023-01-20,SALE002572,Rejected
CLM000402,2021-05-13,SALE002574,Completed
CLM000403,2022-09-20,SALE002577,Completed
CLM000404,2022-11-08,SALE002580,Completed
CLM000405,2022-06-23,SALE002587,Completed
CLM000406,2025-06-29,SALE002588,Replaced
CLM000407,2024-07-12,SALE002600,Completed
CLM000408,2021-10-13,SALE002613,Completed
CLM000409,2022-02-16,SALE002614,Paid Repaired
CLM000410,2023-01-25,SALE002615,Completed
CLM000411,2024-06-13,SALE002620,Completed
CLM000412,2022-07-19,SALE002627,Pending
CLM000413,2023-08-21,SALE002641,Completed
CLM000414,2025-06-22,SALE002652,Paid Repaired
CLM000415,2024-09-14,SALE002658,Completed
CLM000416,2022-04-11,SALE002675,Replaced
CLM000417,2025-12-31,SALE002688,Pending
CLM000418,2021-12-19,SALE002689,Paid Repaired
CLM000419,2020-06-27,SALE002696,Completed
CLM000420,2023-06-13,SALE002697,Warranty Void
CLM000421,2024-10-11,SALE002703,Replaced
CLM000422,2022-10-03,SALE002706,Pending
CLM000423,2025-12-31,SALE002709,Completed
CLM000424,2023-08-30,SALE002711,Pending
CLM000425,2024-08-10,SALE002714,Completed
CLM000426,2025-06-11,SALE002727,Completed
CLM000427,2024-10-18,SALE002745,Completed
CLM000428,2025-03-05,SALE002747,Completed
CLM000429,2023-04-05,SALE002748,Completed
CLM000430,2024-04-03,SALE002755,Paid Repaired
CLM000431,2022-01-08,SALE002761,Completed
CLM000432,2025-06-11,SALE002766,Replaced
CLM000433,2021-12-14,SALE002778,Pending
CLM000434,2021-01-16,SALE002781,Replaced
CLM000435,2022-10-14,SALE002790,Completed
CLM000436,2023-10-25,SALE002791,Completed
CLM000437,2025-12-04,SALE002802,Completed
CLM000438,2022-10-08,SALE002805,Paid Repaired
CLM000439,2025-06-24,SALE002821,Completed
CLM000440,2022-03-25,SALE002824,Paid Repaired
CLM000441,2022-12-07,SALE002834,Paid Repaired
CLM000442,2024-12-10,SALE002839,Completed
CLM000443,2022-08-08,SALE002856,Paid Repaired
CLM000444,2024-04-21,SALE002863,Warranty Void
CLM000445,2022-01-08,SALE002877,Completed
CLM000446,2023-05-22,SALE002882,Paid Repaired
CLM000447,2025-08-31,SALE002885,Completed
CLM000448,2021-04-23,SALE002917,Completed
CLM000449,2021-05-04,SALE002922,Replaced
CLM000450,2025-02-14,SALE002931,Completed
CLM000451,2025-06-04,SALE002937,Completed
CLM000452,2022-06-06,SALE002944,Pending
CLM000453,2025-06-27,SALE002955,Completed
CLM000454,2023-09-09,SALE002960,Completed
CLM000455,2022-02-28,SALE002963,Replaced
CLM000456,2024-03-12,SALE002964,Pending
CLM000457,2024-09-23,SALE002974,Paid Repaired
CLM000458,2024-09-02,SALE002978,Completed
CLM000459,2021-03-31,SALE002980,Completed
CLM000460,2025-04-10,SALE002987,Completed
CLM000461,2025-12-31,SALE002999,Completed
CLM000462,2020-11-25,SALE003005,Completed
CLM000463,2024-07-14,SALE003017,Replaced
CLM000464,2024-11-16,SALE003020,Paid Repaired
CLM000465,2022-08-22,SALE003030,Replaced
CLM000466,2022-02-25,SALE003045,Replaced
CLM000467,2025-03-29,SALE003048,Pending
CLM000468,2022-02-07,SALE003054,Completed
CLM000469,2025-02-05,SALE003057,Completed
CLM000470,2022-01-13,SALE003065,Paid Repaired
CLM000471,2024-02-08,SALE003071,Replaced
CLM000472,2023-05-07,SALE003076,Completed
CLM000473,2021-07-17,SALE003087,Completed
CLM000474,2020-12-26,SALE003096,Completed
CLM000475,2024-10-02,SALE003097,Rejected
CLM000476,2022-08-16,SALE003104,Completed
CLM000477,2022-02-14,SALE003105,Completed
CLM000478,2022-02-16,SALE003108,Completed
CLM000479,2024-04-02,SALE003109,Replaced
CLM000480,2020-11-22,SALE003127,Pending
CLM000481,2022-08-31,SALE003129,Paid Repaired
CLM000482,2025-12-31,SALE003131,Paid Repaired
CLM000483,2025-01-14,SALE003133,Pending
CLM000484,2022-12-22,SALE003134,Pending
CLM000485,2025-12-31,SALE003139,Paid Repaired
CLM000486,2025-12-31,SALE003144,Warranty Void
CLM000487,2023-01-07,SALE003145,Paid Repaired
CLM000488,2021-12-10,SALE003147,Completed
CLM000489,2021-10-27,SALE003161,Replaced
CLM000490,2025-06-10,SALE003162,Replaced
CLM000491,2024-05-21,SALE003164,Replaced
CLM000492,2021-09-11,SALE003170,Completed
CLM000493,2022-02-10,SALE003174,Replaced
CLM000494,2025-12-31,SALE003179,Completed
CLM000495,2022-07-05,SALE003181,Completed
CLM000496,2025-12-31,SALE003186,Pending
CLM000497,2023-09-29,SALE003194,Completed
CLM000498,2021-07-04,SALE003196,Completed
CLM000499,2023-09-30,SALE003198,Completed
CLM000500,2020-03-02,SALE003222,Warranty Void
CLM000501,2023-03-23,SALE003224,Paid Repaired
CLM000502,2023-10-04,SALE003225,Completed
CLM000503,2024-06-11,SALE003230,Replaced
CLM000504,2021-10-05,SALE003232,Paid Repaired
CLM000505,2025-08-20,SALE003235,Completed
CLM000506,2022-10-21,SALE003240,Completed
CLM000507,2022-01-20,SALE003253,Completed
CLM000508,2022-02-16,SALE003259,Paid Repaired
CLM000509,2025-01-15,SALE003261,Rejected
CLM000510,2022-05-31,SALE003263,Paid Repaired
CLM000511,2022-03-02,SALE003267,Completed
CLM000512,2025-12-31,SALE003268,Rejected
CLM000513,2025-07-08,SALE003269,Replaced
CLM000514,2023-02-21,SALE003287,Replaced
CLM000515,2023-03-20,SALE003295,Warranty Void
CLM000516,2023-06-12,SALE003296,Replaced
CLM000517,2022-08-16,SALE003300,Completed
CLM000518,2022-07-13,SALE003301,Paid Repaired
CLM000519,2025-05-24,SALE003303,Completed
CLM000520,2024-12-16,SALE003308,Paid Repaired
CLM000521,2023-03-18,SALE003324,Completed
CLM000522,2024-04-28,SALE003331,Completed
CLM000523,2021-04-26,SALE003332,Completed
CLM000524,2021-07-15,SALE003333,Pending
CLM000525,2024-06-25,SALE003338,Pending
CLM000526,2025-12-10,SALE003342,Replaced
CLM000527,2022-08-11,SALE003352,Completed
CLM000528,2025-03-12,SALE003366,Completed
CLM000529,2022-01-09,SALE003371,Pending
CLM000530,2023-11-12,SALE003376,Replaced
CLM000531,2021-01-13,SALE003384,Pending
CLM000532,2023-07-09,SALE003397,Warranty Void
CLM000533,2023-03-16,SALE003400,Completed
CLM000534,2025-05-21,SALE003403,Rejected
CLM000535,2024-03-20,SALE003419,Replaced
CLM000536,2022-07-26,SALE003424,Rejected
CLM000537,2025-11-01,SALE003425,Replaced
CLM000538,2025-12-31,SALE003428,Replaced
CLM000539,2023-10-13,SALE003434,Replaced
CLM000540,2024-07-31,SALE003438,Completed
CLM000541,2020-12-16,SALE003441,Completed
CLM000542,2022-03-06,SALE003446,Replaced
CLM000543,2022-05-27,SALE003448,Completed
CLM000544,2023-08-13,SALE003459,Paid Repaired
CLM000545,2023-03-28,SALE003462,Paid Repaired
CLM000546,2024-07-10,SALE003463,Pending
CLM000547,2022-07-26,SALE003465,Paid Repaired
CLM000548,2025-12-31,SALE003478,Replaced
CLM000549,2020-08-13,SALE003479,Completed
CLM000550,2025-06-19,SALE003486,Completed
CLM000551,2025-05-28,SALE003494,Completed
CLM000552,2025-12-31,SALE003497,Completed
CLM000553,2021-03-28,SALE003499,Completed
CLM000554,2023-10-25,SALE003501,Completed
CLM000555,2022-11-01,SALE003510,Completed
CLM000556,2024-08-12,SALE003511,Paid Repaired
CLM000557,2025-04-18,SALE003528,Completed
CLM000558,2020-09-18,SALE003529,Completed
CLM000559,2025-12-31,SALE003536,Completed
CLM000560,2025-03-11,SALE003539,Warranty Void
CLM000561,2024-09-17,SALE003542,Completed
CLM000562,2022-12-29,SALE003552,Paid Repaired
CLM000563,2023-04-20,SALE003557,Replaced
CLM000564,2024-10-14,SALE003563,Warranty Void
CLM000565,2025-12-31,SALE003567,Completed
CLM000566,2025-12-31,SALE003570,Replaced
CLM000567,2021-03-25,SALE003571,Rejected
CLM000568,2023-01-27,SALE003574,Completed
CLM000569,2023-05-13,SALE003577,Pending
CLM000570,2024-05-28,SALE003585,Paid Repaired
CLM000571,2022-08-17,SALE003599,Replaced
CLM000572,2023-07-23,SALE003608,Paid Repaired
CLM000573,2022-03-05,SALE003611,Pending
CLM000574,2020-09-10,SALE003613,Completed
CLM000575,2025-03-14,SALE003615,Rejected
CLM000576,2023-10-06,SALE003616,Completed
CLM000577,2021-09-20,SALE003617,Completed
CLM000578,2024-02-14,SALE003618,Replaced
CLM000579,2021-04-29,SALE003621,Replaced
